# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: WL+XC+GC
#         # Likelihood: using covariance and differences between data vectors in ell-bins
#         # Sky Fraction (fsky): 0.43
#         # Redshift Binning: 5 source bins and 5 lense bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max: 5000.0
#         #   - total l_bins: 20
#         #   - cut in l_max (WL): [3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000]
#         #   - cut in l_max (GC, XC): [136.0, 136.0, 136.0, 136.0, 136.0, 176.0, 176.0, 176.0, 176.0, 204.0, 204.0, 204.0, 222.0, 222.0, 233.0]
#         #
#             
#             # Data Model:
#             #   - Nonlinear Power Spectrum: nDGP: ReACT (2)
#             #   - Galaxy Bias Model: b1 constant within bins (0)
#             #   - Intrinsic Alignments: zNLA (0)
#             #   - Baryon Model: no baryons (0)
#             #   - Cross Correlation sqrt(Baryonic Supression): False 
#             #   - Parameters: 
#             
#             #       - Omega_m: 0.31966
#             #       - Omega_b: 0.04971747
#             #       - h: 0.6688
#             #       - log10As: 3.04070563
#             #       - ns: 0.9626
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - log10f_R0: -5.0
#             #       - log10Omega_rc: -0.60205999132
#             #       - a1_IA: 1.72
#             #       - eta1_IA: -0.41
#             #       - beta_IA: 0.0
#             #       - b1_1: 1.562362
#             #       - b1_2: 1.732963
#             #       - b1_3: 1.913252
#             #       - b1_4: 2.100644
#             #       - b1_5: 2.29321
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Ombh2: 0.0222382981843968
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31966
#             #       - Omega_c: 0.26994253
#             #       - fb: 0.15553234686854783
#             #       - As: 2.0919999807604575e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: mu-Sigma: ReACT (4)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Cross Correlation sqrt(Baryonic Supression): False 
#         #   - Photo-z Error Model: no photo-z error (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.28,0.36]
#            #       - Ombh2: N(0.0222383,0.00038)
#            #       - h: [0.61,0.73]
#            #       - log10As: [2.833213,3.218875]
#            #       - ns: N(0.9626,0.004)
#            #       - mu0: [-1.5,1.5]
#            #       - sigma0: [-1.5,1.5]
#            #       - q1: [-2.0,2.0]
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - gamma0: 0.8
#            #       - gamma1: 0.0
#            #       - q1_gamma: 0.0
#            #       - log10Omega_rc: -0.60205999132
#            #       - log10f_R0: -5.0
#            #       - a1_IA: [0.0,12.1]
#            #       - eta1_IA: [-7.0,6.17]
#            #       - beta_IA: 0.0
#            #       - b1_1: [0.8,3.0]
#            #       - b1_2: [0.8,3.0]
#            #       - b1_3: [0.8,3.0]
#            #       - b1_4: [0.8,3.0]
#            #       - b1_5: [0.8,3.0]
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns          mu0          sigma0          q1          a1_IA          eta1_IA          b1_1          b1_2          b1_3          b1_4          b1_5        log_w   log_l
3.548619876172716125e-01 2.245670836730367936e-02 6.392913776394744119e-01 2.848049390649737944e+00 9.600862568637941186e-01 1.263653407278968466e+00 -7.804613123560255605e-01 7.855149474350557881e-01 8.068922281155511911e+00 1.894167587095013872e+00 2.756284536669348029e+00 1.977207562856996947e+00 8.432181787541308537e-01 1.886716557236806535e+00 2.157060511468833930e+00 -inf -inf
2.898663812280363183e-01 2.214233874148142933e-02 7.161046287823764622e-01 2.878272026054355948e+00 9.635691839537439130e-01 -1.254448527571989214e+00 2.493003594091725006e-02 1.014530613652663504e+00 8.086592719086798553e+00 -5.128672433254490848e+00 1.456821275489497136e+00 2.308351109062291684e+00 1.819997065800869507e+00 2.145842003216162475e+00 1.016601121332957547e+00 -inf -inf
3.294711896928557149e-01 2.229737470298337465e-02 6.107413349713262107e-01 2.888927987265890618e+00 9.685476742550082063e-01 -1.116519311497417899e+00 4.530780917441203925e-01 6.861786717850701933e-01 5.573831508919330879e+00 3.139274904531745847e+00 1.193575958371686951e+00 1.250869172646036809e+00 2.941761478111681427e+00 2.442398961260122014e+00 2.809829196161940601e+00 -inf -inf
3.138737099839362665e-01 2.215805299237543283e-02 6.979112980156942925e-01 3.151437351288274957e+00 9.645969044226436750e-01 8.125762957596314173e-01 -1.395054204435240752e+00 -1.175381375945109497e+00 4.576065989782375887e+00 5.382502283798221043e+00 2.222432825189116112e+00 1.091204795972768871e+00 2.870924925203798495e+00 2.571251711059574507e+00 2.595703110549820281e+00 -inf -inf
3.392573741985607794e-01 2.250997765093700961e-02 6.834699242567512378e-01 3.187994675625611229e+00 9.573007268504549749e-01 5.697952326189179573e-01 -9.529772617545844149e-01 8.885766102500269881e-02 4.590991301769745014e+00 -1.067832636007579161e+00 2.122839051753489414e+00 8.217703806978443604e-01 1.743478839246026757e+00 1.667909660128911842e+00 2.672043331166601199e+00 -inf -inf
3.483050265682503532e-01 2.226817224686908694e-02 7.204854802379325740e-01 2.849910091931690204e+00 9.641372080265103728e-01 5.509651389881069505e-01 -5.729797897569930409e-01 -1.363557258053248233e+00 5.933494021392847984e+00 -2.224486456740351059e+00 1.543043665353093452e+00 2.201535181087781012e+00 1.812451150368683761e+00 1.248450288170676492e+00 1.232056402874622369e+00 -inf -inf
3.338402066706445681e-01 2.221816079720468490e-02 6.884331649048637258e-01 2.839662821578771812e+00 9.625042953921542077e-01 1.383044120816693479e+00 4.949141909057575006e-02 -5.626679244799253077e-01 5.227051392760026616e+00 2.205247668297749541e-01 2.423870825891253133e+00 1.209874599715888399e+00 2.402258117372854773e+00 1.978159664907513715e+00 1.965072732088734009e+00 -inf -inf
3.553000889386295214e-01 2.239805864010989411e-02 6.176415011708034086e-01 2.991473762561049909e+00 9.624704169009342669e-01 -9.231041815602939460e-01 -9.206647288187075340e-01 -8.999727514820987651e-01 5.811924418634510481e+00 1.245660050944877639e+00 1.422196921195022501e+00 2.528205640312831903e+00 2.129069251887365954e+00 1.114097903771598785e+00 2.887647168854769575e+00 -5.314550534300857689e+05 -5.315013465828018961e+05
2.816262014280943582e-01 2.159426677856086246e-02 6.762383777929373840e-01 2.994392611981739449e+00 9.642068326740494966e-01 -1.142994560797472303e-03 -7.287800497716623305e-01 -1.772818263623865853e+00 7.237702176955989053e+00 4.531027975346997749e+00 2.479885414149005207e+00 1.560086978655859768e+00 1.086740190131671557e+00 2.901299509754090344e+00 2.578267709613321301e+00 -inf -inf
3.413962747652258267e-01 2.269568318241964311e-02 6.521236152338878433e-01 2.934525127427865421e+00 9.646871526748251879e-01 -1.105095476850658898e+00 -1.119683280871641706e-01 -2.555347128095801779e-01 1.131139245558097173e+01 4.807864368509761732e+00 1.741508639519590673e+00 9.565053451688452224e-01 1.255330513710072093e+00 1.128932065362708181e+00 1.197209251717330281e+00 -inf -inf
3.417159050590148350e-01 2.187890071270237602e-02 6.530675227976621144e-01 2.996603163240767920e+00 9.639771583156052648e-01 3.994098879312852901e-01 -1.300879716085073579e+00 -1.982814163246854111e+00 1.011155453652818359e+01 3.020161189037997573e+00 1.545458210186541725e+00 2.506270101323029742e+00 2.720321566877557107e+00 2.901232302485461823e+00 1.719983566827025578e+00 -inf -inf
3.024860793102762679e-01 2.140619883218240760e-02 6.344993583192005682e-01 3.190050311050424803e+00 9.574479602160863578e-01 -1.291647430620969761e+00 -1.035276078031501124e+00 -1.384337716072585600e-01 1.201010238611262437e+01 1.025551267671255928e+00 2.843145965112265472e+00 1.389204288269550336e+00 2.626507055219956754e+00 2.801960334515984918e+00 2.657420612553011097e+00 -inf -inf
2.924807853978482752e-01 2.261202071483271042e-02 6.346135914525186106e-01 2.959912223760736705e+00 9.619549116808018274e-01 1.315110207566340783e+00 -4.723499152915286992e-01 -1.245689596596327053e+00 3.103995673138854272e+00 -4.839292408747504659e+00 1.592536622308873273e+00 2.246964295214730178e+00 2.682683133813004606e+00 1.747041412603717259e+00 2.472486556555327120e+00 -inf -inf
3.097230298345023947e-01 2.315237110837393281e-02 7.221732298889952384e-01 3.153326759361378073e+00 9.612872168326136446e-01 -4.997067445077145731e-01 4.677281508605124483e-01 -3.239241377269928002e-01 1.178627405552468943e+01 5.825895040486150478e+00 8.796362452539632226e-01 1.269809298812985876e+00 1.204877126925400166e+00 8.397510850141923777e-01 1.693367093658613598e+00 -4.875604545848703906e+13 -4.875604545853332812e+13
3.497396996390141899e-01 2.255998729543396905e-02 6.723543525488286932e-01 3.091640897452173853e+00 9.626756750932716766e-01 1.421072705195288499e+00 6.976168539482978659e-01 4.045017708945981560e-01 1.098060445840244093e+01 5.764052580449085639e+00 1.342545664107265946e+00 2.641877997535376110e+00 1.904234409113481963e+00 1.338108060284493472e+00 8.171258161354059135e-01 -1.021181147690698906e+14 -1.021181147691161875e+14
2.832414416833707871e-01 2.259649249911212937e-02 6.809012470547728402e-01 2.997843427348206191e+00 9.577616184079837947e-01 8.451607415638324738e-01 -8.480093898208860281e-01 -8.089168699446753763e-01 4.063902466949111059e+00 -2.601877016876836812e+00 2.335354114081039434e+00 2.212959050776441394e+00 1.053421284629665333e+00 2.530800853871614020e+00 1.074760588823794105e+00 -inf -inf
3.263042182351105214e-01 2.220994864240802280e-02 7.224210823408981907e-01 3.089646017110191600e+00 9.590217504874413157e-01 1.380313060449003704e+00 -1.357699608136471170e-01 9.478137802448500793e-01 4.034762630298127206e+00 -5.247745642233435426e+00 2.420200694863054114e+00 2.787109126068034293e+00 1.133590986474429130e+00 8.735090471455086991e-01 1.871273302780126269e+00 -inf -inf
