# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: WL+XC+GC
#         # Likelihood: using covariance and differences between data vectors in ell-bins
#         # Sky Fraction (fsky): 0.43
#         # Redshift Binning: 5 source bins and 5 lense bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max: 5000.0
#         #   - total l_bins: 20
#         #   - cut in l_max (WL): [3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]
#         #   - cut in l_max (GC, XC): [136.0, 136.0, 136.0, 136.0, 136.0, 176.0, 176.0, 176.0, 176.0, 204.0, 204.0, 204.0, 222.0, 222.0, 233.0]
#         #
#             
#             # Data Model:
#             #   - Nonlinear Power Spectrum: nDGP: ReACT (2)
#             #   - Galaxy Bias Model: b1 constant within bins (0)
#             #   - Intrinsic Alignments: zNLA (0)
#             #   - Baryon Model: no baryons (0)
#             #   - Cross Correlation sqrt(Baryonic Supression): False 
#             #   - Parameters: 
#             
#             #       - Omega_m: 0.31966
#             #       - Omega_b: 0.04971747
#             #       - h: 0.6688
#             #       - log10As: 3.04070563
#             #       - ns: 0.9626
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - log10f_R0: -5.0
#             #       - log10Omega_rc: -0.60205999132
#             #       - a1_IA: 1.72
#             #       - eta1_IA: -0.41
#             #       - beta_IA: 0.0
#             #       - b1_1: 1.562362
#             #       - b1_2: 1.732963
#             #       - b1_3: 1.913252
#             #       - b1_4: 2.100644
#             #       - b1_5: 2.29321
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Ombh2: 0.0222382981843968
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31966
#             #       - Omega_c: 0.26994253
#             #       - fb: 0.15553234686854783
#             #       - As: 2.0919999807604575e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: mu-Sigma: ReACT (4)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Cross Correlation sqrt(Baryonic Supression): False 
#         #   - Photo-z Error Model: no photo-z error (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.28,0.36]
#            #       - Ombh2: N(0.0222383,0.00038)
#            #       - h: [0.61,0.73]
#            #       - log10As: [2.833213,3.218875]
#            #       - ns: N(0.9626,0.004)
#            #       - mu0: [-1.5,1.5]
#            #       - sigma0: [-1.5,1.5]
#            #       - q1: 0.0
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - gamma0: 0.8
#            #       - gamma1: 0.0
#            #       - q1_gamma: 0.0
#            #       - log10Omega_rc: -0.60205999132
#            #       - log10f_R0: -5.0
#            #       - a1_IA: [0.0,12.1]
#            #       - eta1_IA: [-7.0,6.17]
#            #       - beta_IA: 0.0
#            #       - b1_1: [0.8,3.0]
#            #       - b1_2: [0.8,3.0]
#            #       - b1_3: [0.8,3.0]
#            #       - b1_4: [0.8,3.0]
#            #       - b1_5: [0.8,3.0]
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns          mu0          sigma0          a1_IA          eta1_IA          b1_1          b1_2          b1_3          b1_4          b1_5        log_w   log_l
3.598565632289396632e-01 2.182191221471329809e-02 6.854671432497700945e-01 3.016825538877601520e+00 9.758498407971123445e-01 1.499996833953283648e+00 -7.994992597114087829e-01 1.087147582193775719e+01 8.009728856549696019e-01 2.659261816851294924e+00 2.752239667200815809e+00 1.740760307592628564e+00 2.620831191207089184e+00 2.212164271884911493e+00 -inf -inf
3.577659993176259823e-01 2.274815098131284172e-02 6.650604650644327265e-01 2.835292331517165643e+00 9.609526673343653513e-01 -2.845301414114786986e-02 -2.970967772050667755e-01 5.924365623427906513e+00 -3.097232572279307927e+00 1.148741739527549655e+00 2.880998671091885122e+00 2.040010653019737941e+00 2.780243019408306537e+00 2.921621806239209640e+00 -inf -inf
2.861859943742132706e-01 2.230035078139781454e-02 6.411600616476301751e-01 2.876310208908104737e+00 9.622603180488360497e-01 7.247394440313903452e-01 -1.015184648307318138e+00 7.649925984099323450e+00 -5.292901284530149297e-02 2.899187022618695764e+00 1.383612603310479638e+00 2.165319116268080712e+00 1.538449652870709894e+00 2.792892332899828745e+00 -inf -inf
3.441146824769082957e-01 2.222933150421118817e-02 6.598701091237308969e-01 2.951025633203809839e+00 9.611217492019933362e-01 -5.280820490321739280e-01 -9.555010353801476342e-01 4.834728021562262334e+00 -1.338536688372071737e-01 1.433467761973776788e+00 2.368742972934129831e+00 2.494610076060957304e+00 2.957236497490390192e+00 9.456785334023614098e-01 -2.679114959189291112e+05 -2.679524185100431205e+05
3.538868797632450103e-01 2.174901784898199131e-02 6.628533916516761160e-01 3.060415132818686601e+00 9.703626551670900824e-01 2.281787650255586719e-01 -1.464137383936953807e+00 2.941624664978265802e+00 -6.325163363481626000e+00 1.077183768975138900e+00 2.670401079093924324e+00 2.070694909794374983e+00 2.618908287651311007e+00 1.405653046557913566e+00 -inf -inf
3.536422601648421260e-01 2.181227819463401468e-02 6.266189939214190652e-01 2.949884111522830032e+00 9.637612158074801982e-01 -4.402826694630039839e-01 1.714393786567025568e-01 5.348012276007514387e-01 -8.400726970820242556e-01 1.271082022526366151e+00 1.626897585208807673e+00 2.846983212003613595e+00 1.978576643748955588e+00 2.270772006080000072e+00 -inf -inf
3.263540441278116599e-01 2.186505588184138246e-02 7.139141601838818740e-01 3.013087175277987306e+00 9.642453110516687742e-01 1.290500282560882006e+00 -1.497706527882963545e+00 6.454172656149886222e+00 -4.850758245948810554e+00 2.578547497373305575e+00 1.742454964827651720e+00 9.244884242315667411e-01 1.081208953815765650e+00 1.841912729782226865e+00 -inf -inf
3.560387388556778276e-01 2.160024996958966395e-02 7.040115144226531951e-01 2.960045204085131054e+00 9.646185573497154664e-01 2.426869616164517574e-01 -1.497418949921988762e+00 6.809962565405577095e+00 3.011027141913858785e+00 2.870448622181022813e+00 1.654559863073910675e+00 9.280602201099756865e-01 2.808506325472790444e+00 2.387684257065942894e+00 -inf -inf
3.456556005478300664e-01 2.194640477911559764e-02 6.116902002725586041e-01 3.000857630813642096e+00 9.628065063355907283e-01 -8.043682548785071607e-01 5.114840528738211489e-01 1.775847268071449436e+00 -2.295095399405002290e+00 1.454609180777938882e+00 1.037298758906556762e+00 1.745581328929713072e+00 2.830794278045521750e+00 1.259028193253779460e+00 -inf -inf
3.271088870617351319e-01 2.309415616416774647e-02 6.275735630958798605e-01 3.017267098926712521e+00 9.641525588102556332e-01 -7.254518209073509416e-01 -1.237729961410967139e+00 2.444542122656992722e-01 3.568594990152956115e+00 2.646563507198508525e+00 1.911807590199141149e+00 1.869452729238522570e+00 1.131425363367074999e+00 1.794034098165560032e+00 -inf -inf
3.550801624540274037e-01 2.243589372814533064e-02 6.390766082616247123e-01 3.068642594962444292e+00 9.622310172159430630e-01 -1.270432826646116009e+00 -1.388336809797697580e+00 1.840143098217539297e-01 4.565094902452205616e+00 9.423981528984805012e-01 2.862463772425795305e+00 2.887881019187907405e+00 1.728634407813108620e+00 2.452068766754109230e+00 -inf -inf
2.890549567421188959e-01 2.214783178238862935e-02 6.964822700306942949e-01 3.172096158441578773e+00 9.690599439297405970e-01 -6.988677425589909786e-01 2.216486839185154434e-01 8.067289262274748296e+00 4.446416288870301159e+00 1.781623313582598289e+00 1.840369819603987489e+00 2.992062895842183323e+00 2.077973024503599220e+00 1.721323107332932256e+00 -1.441211875252893639e+10 -1.441211879345152664e+10
3.243285397494510836e-01 2.189287322509608086e-02 6.518927541897472366e-01 2.985207141778927209e+00 9.586637491307568038e-01 1.422061789928166231e+00 -4.118961103806786372e-01 3.000528985953113459e+00 4.736461163897063287e-01 1.513801058672383348e+00 2.594958765290603431e+00 2.573832054477779074e+00 2.628036105665684019e+00 1.868618655527222838e+00 -inf -inf
3.142534431331563960e-01 2.270833279066044805e-02 6.514296107103827449e-01 3.161252061130245039e+00 9.573698420854245272e-01 1.311952535541922593e+00 -1.378149690826085960e+00 5.704174062948502488e+00 -3.190636496137576827e+00 8.235865650429600171e-01 2.370917207209876754e+00 2.354697342768523605e+00 2.281853986019629410e+00 2.516416029802893473e+00 -inf -inf
3.326628681903527895e-01 2.228686037609824144e-02 6.170017329530796957e-01 2.907332183565937367e+00 9.676422437577972824e-01 2.260140532496044408e-01 6.747058815942001964e-01 8.959268375017201080e+00 5.966598459700501067e+00 2.715448557699966070e+00 2.706941699365291942e+00 1.788673135166571448e+00 1.166239124770263258e+00 1.209407071230301112e+00 -inf -inf
3.402483071680092452e-01 2.227853674153779454e-02 7.224228025153387467e-01 3.061545472334155971e+00 9.556321088891525095e-01 1.308120494085532215e+00 -1.433944037187104392e+00 8.002837096267580108e+00 3.606957501010407796e+00 2.737070635515623351e+00 2.928474713513783634e+00 2.948414844194071627e+00 2.842601253560905761e+00 9.054632859739242257e-01 -inf -inf
3.532042166894049373e-01 2.213320476528134878e-02 6.400820329981791179e-01 2.997855811565569351e+00 9.590444304787761887e-01 -1.216719104898178472e-03 -1.310776119998310119e+00 5.073638195330497425e+00 -6.127392985979032147e+00 1.496874264253201359e+00 9.546996070218741748e-01 1.867577029884712969e+00 9.859466603804465379e-01 2.377478940338666025e+00 -inf -inf
3.013140638297944207e-01 2.211985832626542012e-02 7.280248000779271367e-01 2.852929456005469433e+00 9.692686909038155108e-01 1.474229715863018431e+00 -1.273852322373322465e+00 3.998198206077495875e+00 2.427742115842814741e+00 1.179629277825184008e+00 8.018281161912880206e-01 1.942898384084248420e+00 1.510847367054780399e+00 2.733203576219160880e+00 -inf -inf
3.298597891777260149e-01 2.271787453992854186e-02 6.136580793898417374e-01 3.049164597212451699e+00 9.629898522933846294e-01 3.381122890450110052e-01 3.889324456541471964e-01 7.484891915853122413e+00 -3.002781756649122613e+00 1.704976967091056617e+00 1.038359101991765954e+00 2.744381925883300433e+00 1.893743910890866244e+00 1.974467548165453890e+00 -inf -inf
3.562425994523317208e-01 2.230646083987983946e-02 6.572164634860434562e-01 3.143521302206708334e+00 9.643481773983469951e-01 -4.464276179991797378e-01 9.242391940046412735e-02 3.862017339860440046e+00 5.370856573848099558e-01 1.305154498997058488e+00 1.594641701488722418e+00 2.886693107467710462e+00 2.661354958053126829e+00 2.251262867792372724e+00 -inf -inf
3.343757846047131221e-01 2.191714608136931947e-02 6.816830422848921822e-01 3.162919899843445126e+00 9.593358159786783412e-01 -1.450090684386134310e+00 -6.868126931680682556e-01 7.604392372466517891e+00 5.497926950323302364e+00 1.438418447121533550e+00 9.800959190960303324e-01 2.768954678877188602e+00 2.037003888754993497e+00 8.730594084502776298e-01 -1.153781597476883789e+12 -1.153781597517806396e+12
3.234184901576729887e-01 2.159774004219593840e-02 6.418957103984122003e-01 3.200545830939723668e+00 9.577042709948376809e-01 6.347217751515117357e-01 -1.440848773677207539e+00 6.665043277675768429e+00 2.846427683098683659e+00 1.238778850102553619e+00 1.991811481617910662e+00 2.300327061924958727e+00 1.776333869542437771e+00 2.247578446017085785e+00 -inf -inf
3.256883818552663290e-01 2.225294577128322793e-02 6.206198511331859624e-01 3.113598091112368849e+00 9.667866156058122495e-01 6.443225235969416431e-01 -5.462840844520568950e-01 6.949929307003084311e+00 -6.091201400950208900e+00 2.175563129269243667e+00 1.658152147341180438e+00 2.667383504901145841e+00 2.472240181362557188e+00 2.865005526465769670e+00 -inf -inf
3.345171231783042320e-01 2.243512854962296035e-02 6.157042562743063607e-01 3.010497005105783774e+00 9.610591859788988334e-01 8.282899205957092725e-01 -1.574532321232782195e-01 4.096221087428007834e+00 3.136613389204088165e+00 2.921024026072424284e+00 8.016816813644520590e-01 2.178965163111547643e+00 1.160529981159704738e+00 2.039092569884793704e+00 -inf -inf
2.820571834955823975e-01 2.168626377608826733e-02 7.240011849451417625e-01 2.969983084136702089e+00 9.635066726218440847e-01 -3.331636818526451105e-01 1.293996653142935660e+00 7.063420443855805253e+00 5.992492672557377276e+00 1.910917836246882384e+00 1.665788382608151208e+00 2.172501326672916733e+00 2.265645593192902041e+00 1.111072947992684412e+00 -3.421005871793029297e+12 -3.421005871833952148e+12
3.199826736920256542e-01 2.266424828662022550e-02 6.350901431436266620e-01 2.841171903497838880e+00 9.639887516075347218e-01 6.429900024475720954e-02 -1.438617489997019216e+00 8.216898374803552230e+00 4.905125670307258545e+00 2.910356412184007091e+00 1.172719639027808958e+00 1.656914157683246014e+00 2.597747026818211680e+00 1.077557796080835573e+00 -inf -inf
3.190772274474087955e-01 2.225920949619798403e-02 7.273374325442077959e-01 3.080756785426215227e+00 9.633867350716976974e-01 7.521035602444214874e-01 -6.766145762412441034e-01 1.063233794120179265e+00 1.153392105875814977e+00 2.011076589106346901e+00 1.808533674086526988e+00 1.410431344604738957e+00 9.295289577117613611e-01 2.047717278378887507e+00 -inf -inf
3.243340651457407020e-01 2.182520734348688748e-02 6.214921291163897354e-01 2.943451700963982898e+00 9.654370591279950453e-01 -1.311562612889159318e+00 1.259655169525719653e+00 4.535652844072620482e+00 -3.569187733326879997e+00 1.249591395316105302e+00 1.569409489911025357e+00 1.977740922745702568e+00 8.831510771531587700e-01 8.889627489936636762e-01 -inf -inf
