# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Likelihood: using covariance and differences between data vectors in ell-bins
#         # Sky Fraction (fsky): 0.43
#         # Redshift Binning: 5 source bins and 5 lense bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max: 5000.0
#         #   - total l_bins: 20
#         #   - cut in l_max (WL): [3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000]
#         #   - cut in l_max (GC, XC): [20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]
#         #
#             
#             # Data Model:
#             #   - Nonlinear Power Spectrum: f(R): ReACT (6)
#             #   - Galaxy Bias Model: b1 constant within bins (0)
#             #   - Intrinsic Alignments: zNLA (0)
#             #   - Baryon Model: no baryons (0)
#             #   - Cross Correlation sqrt(Baryonic Supression): False 
#             #   - Parameters: 
#             
#             #       - Omega_m: 0.31966
#             #       - Omega_b: 0.04971747
#             #       - h: 0.6688
#             #       - log10As: 3.04070563
#             #       - ns: 0.9626
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - log10f_R0: -5
#             #       - a1_IA: 1.72
#             #       - eta1_IA: -0.41
#             #       - beta_IA: 0.0
#             #       - b1_1: 1.562362
#             #       - b1_2: 1.732963
#             #       - b1_3: 1.913252
#             #       - b1_4: 2.100644
#             #       - b1_5: 2.29321
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Ombh2: 0.0222382981843968
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31966
#             #       - Omega_c: 0.26994253
#             #       - fb: 0.15553234686854783
#             #       - As: 2.0919999807604575e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: mu-Sigma: ReACT (4)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Cross Correlation sqrt(Baryonic Supression): False 
#         #   - Photo-z Error Model: no photo-z error (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.28,0.36]
#            #       - Ombh2: N(0.0222383,0.00038)
#            #       - h: [0.61,0.73]
#            #       - log10As: [2.833213,3.218875]
#            #       - ns: N(0.9626,0.004)
#            #       - mu0: [-1.5,1.5]
#            #       - sigma0: 0.0
#            #       - q1: [-2.0,2.0]
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - gamma0: 0.8
#            #       - gamma1: 0.0
#            #       - q1_gamma: 0.0
#            #       - log10Omega_rc: -0.60205999132
#            #       - log10f_R0: -5.0
#            #       - a1_IA: [0.0,12.1]
#            #       - eta1_IA: [-7.0,6.17]
#            #       - beta_IA: 0.0
#            #       - b1_1: 1.562362
#            #       - b1_2: 1.732963
#            #       - b1_3: 1.913252
#            #       - b1_4: 2.100644
#            #       - b1_5: 2.29321
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns          mu0          q1          a1_IA          eta1_IA        log_w   log_l
2.998645288932242914e-01 2.222927945991893736e-02 6.710254847770563691e-01 3.212084665406868211e+00 9.645253055843041601e-01 9.697538457466992057e-01 2.671147578030392822e-01 1.230499652685619560e+00 4.198839988532764522e+00 -5.112900610247150995e+06 -5.112921154932657257e+06
3.429201566113572186e-01 2.309043336762313381e-02 6.167711306870677923e-01 3.205350806600831604e+00 9.704954108700235560e-01 1.490756354054328714e+00 2.104782849135613532e-01 1.042498878885901870e-01 1.302152514337393541e+00 -inf -inf
3.299672007956710451e-01 2.277566934263957135e-02 7.181102786839523855e-01 3.154701134234961124e+00 9.652989449930610144e-01 -1.478978403101720129e+00 -1.665084178618151167e+00 6.314921948060680634e+00 1.589247135729292992e+00 -inf -inf
3.543971682367038634e-01 2.362584686609498635e-02 6.565922721037137366e-01 3.018033089867446339e+00 9.640398331345345628e-01 1.447900048739077405e+00 -1.421251776605392259e+00 1.056332539643803159e+01 5.354444242884149219e+00 -inf -inf
2.966711316911518903e-01 2.193915898736174125e-02 6.905830979321954111e-01 2.913712484875468522e+00 9.692315330427397901e-01 -1.011152352570661161e+00 -4.021605348618177977e-01 1.005876459846313331e+01 -4.235679637078016313e+00 -inf -inf
3.367198968126247638e-01 2.191964815806928674e-02 7.098416749450207064e-01 2.917728388239421822e+00 9.608949374608962701e-01 -1.365784321348686436e+00 -7.087823830479651477e-01 1.030236394381975273e+01 5.972429433079961214e+00 -inf -inf
3.569499464464963023e-01 2.258428593772252024e-02 7.144172037368898831e-01 2.862046358030248872e+00 9.590635300178989020e-01 1.457121434450147746e+00 -1.263758635579170342e+00 2.996583024046160837e+00 2.623118427336841307e+00 -inf -inf
2.977365906358448999e-01 2.197490920364969513e-02 7.237624303617784527e-01 3.034758207357971305e+00 9.566298737061800228e-01 1.382331525155011676e+00 2.971016885114301509e-01 4.365407723849357602e+00 -1.087964580615665255e+00 -inf -inf
3.196479723039055143e-01 2.235166041322747543e-02 6.172778938606966470e-01 3.145812163109289461e+00 9.610436913282265348e-01 1.070692251251257332e-01 8.253327166074524435e-01 7.405203163908035791e+00 5.816700993481058291e+00 -2.509376980804355957e+12 -2.509376980824900391e+12
2.815444939024400739e-01 2.293785435321998162e-02 7.131774777195142301e-01 2.962418123328309782e+00 9.639598423924949921e-01 1.317048632736224523e+00 -1.677360130645912939e+00 9.195023152068452887e+00 8.031347926383665126e-01 -inf -inf
3.058659666742455929e-01 2.228953192266712457e-02 6.372333426264770173e-01 3.153657021098958069e+00 9.672205082494957917e-01 -1.016961578069498051e+00 1.342531591652295742e+00 8.023461543894976344e+00 3.698773259064465080e+00 -inf -inf
3.378825983496096530e-01 2.240537390292404729e-02 6.130436537976243772e-01 3.010580311968585221e+00 9.543719436458496519e-01 1.467359898471449320e+00 1.779661708312773705e+00 8.897322499549510155e+00 3.776603566234415510e-01 -inf -inf
3.508776157815284291e-01 2.241456857625626076e-02 7.104232689014227109e-01 3.094301500928976711e+00 9.598218607364320532e-01 -8.442979086411571688e-01 1.044928785252210446e+00 1.028357691274267438e+01 4.721708637525484420e+00 -2.969041080462888184e+11 -2.969041080668334961e+11
3.479828442267350330e-01 2.259921726888933918e-02 7.271781631093536813e-01 2.976631981779245262e+00 9.638725530440792610e-01 1.379831373447934162e+00 5.568632180427335321e-01 1.183660130548040357e+01 2.087868272824930926e-01 -inf -inf
3.261320837042365195e-01 2.284502276084165312e-02 6.400206867194229154e-01 3.160371347962157795e+00 9.545060344328196722e-01 9.586167422457325671e-03 1.950258746438521928e+00 2.139950793543362817e+00 4.969811520017378470e+00 -7.083963470528708696e+08 -7.083963675975563526e+08
3.238161488983244962e-01 2.248331211947374522e-02 6.557192135360256913e-01 3.155716174099830518e+00 9.631028959822371949e-01 9.754592637416594769e-01 -1.922892733870441351e+00 1.160363593773519852e+01 1.706650406156988709e+00 -3.468488648897686601e+07 -3.468490703366237134e+07
2.970510288757461370e-01 2.164676140714726083e-02 6.821897035353616801e-01 3.065465208648264994e+00 9.609792948758237863e-01 1.873795910670490450e-01 5.998584444968071416e-01 1.085990602889031820e+01 2.693654932427916648e+00 -1.161981763630153090e+08 -1.161981969077008069e+08
3.107764172742850106e-01 2.262138029159653507e-02 6.634524908987465830e-01 2.876983536296519706e+00 9.656208950774330946e-01 -9.609942033845244591e-01 6.443499530401335385e-01 5.122709087152443885e+00 -6.634301526672691907e+00 -2.129704555465143130e+04 -2.131759024015728937e+04
2.892153740691865149e-01 2.237582780298789931e-02 6.876003609196089661e-01 2.866118808422632558e+00 9.660627797451435406e-01 1.318904530388893992e+00 1.249236995239322301e+00 6.849413050729038943e+00 1.076819159046349839e+00 -inf -inf
2.930308517313218730e-01 2.242733865702365229e-02 6.591778037836218962e-01 3.003867971526583691e+00 9.591716688660247847e-01 1.314770052101386533e+00 -1.666114781162387093e+00 2.011147960738084439e+00 -5.656674553474995371e+00 -inf -inf
3.380194072360581115e-01 2.258006863542745199e-02 6.643119265183146105e-01 2.987301237082127248e+00 9.651211479674707272e-01 9.703349071580236185e-01 1.723016698111922373e+00 2.348455523701536318e+00 2.903030332415395876e+00 -1.400986156699410873e+06 -1.401006701384916669e+06
